11AM	4-6-7	10/6/2018	4,500.00	215
11AM	6-7-9	10/7/2018	4,500.00	208
11AM	0-7-7	10/8/2018	4,500.00	220
11AM	6-4-4	10/9/2018	4,500.00	254
11AM	6-5-2	10/10/2018	4,500.00	166
11AM	5-6-1	10/11/2018	4,500.00	351
11AM	0-9-4	10/12/2018	4,500.00	116
11AM	0-4-4	10/13/2018	4,500.00	346
11AM	8-4-4	10/14/2018	4,500.00	108
11AM	2-8-2	10/15/2018	4,500.00	234
11AM	0-2-8	10/16/2018	4,500.00	375
11AM	1-0-2	10/17/2018	4,500.00	1023
11AM	9-3-2	10/18/2018	4,500.00	377
11AM	8-8-3	10/19/2018	4,500.00	280
11AM	9-7-5	10/20/2018	4,500.00	227
11AM	2-2-6	10/21/2018	4,500.00	333
11AM	0-0-1	10/22/2018	4,500.00	460
11AM	3-6-4	10/23/2018	4,500.00	140
11AM	9-6-9	10/24/2018	4,500.00	265
11AM	5-2-8	10/25/2018	4,500.00	405
11AM	7-0-6	10/26/2018	4,500.00	194
11AM	7-4-9	10/27/2018	4,500.00	220
11AM	4-5-3	10/28/2018	4,500.00	126
11AM	6-9-5	10/29/2018	4,500.00	97
11AM	5-6-9	10/30/2018	4,500.00	586
11AM	6-7-8	10/31/2018	4,500.00	149
11AM	5-4-4	11/1/2018	4,500.00	236
11AM	5-0-1	11/2/2018	4,500.00	413
11AM	8-1-7	11/3/2018	4,500.00	305
11AM	3-1-0	11/4/2018	4,500.00	440
11AM	0-7-9	11/5/2018	4,500.00	150
11AM	3-7-1	11/6/2018	4,500.00	141
11AM	8-5-0	11/7/2018	4,500.00	372
11AM	7-6-5	11/8/2018	4,500.00	254
11AM	5-5-8	11/9/2018	4,500.00	341
11AM	0-0-5	11/10/2018	4,500.00	393
11AM	8-1-4	11/11/2018	4,500.00	534
11AM	9-3-3	11/12/2018	4,500.00	239
11AM	0-3-4	11/13/2018	4,500.00	168
11AM	7-6-1	11/14/2018	4,500.00	130
11AM	5-4-6	11/15/2018	4,500.00	172
11AM	8-8-8	11/16/2018	4,500.00	1029
11AM	9-6-5	11/17/2018	4,500.00	127
11AM	3-2-2	11/18/2018	4,500.00	333
11AM	6-0-5	11/19/2018	4,500.00	228
11AM	8-1-3	11/20/2018	4,500.00	402
11AM	2-9-9	11/21/2018	4,500.00	251
11AM	8-3-9	11/22/2018	4,500.00	220
11AM	2-1-1	11/23/2018	4,500.00	344
11AM	4-1-6	11/24/2018	4,500.00	335
11AM	8-5-3	11/25/2018	4,500.00	274
11AM	4-9-1	11/26/2018	4,500.00	150
11AM	9-8-5	11/27/2018	4,500.00	146
